#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.30942854,X,X
-0.3093952,X,X
-0.30936186,X,X
-0.30932852,X,X
-0.30929518,X,X
-0.30926184,h00,h00
-0.3092285,h00,h00
-0.30919516,h00,h00
-0.30916182,h00,h00
-0.30912848,h00,h00
-0.30909514,h00,h00
-0.3090618,h00,h00
-0.30902846,h00,h00
-0.30899512,h00,h00
-0.30896178,h00,h00
-0.30892844,h00,h00
-0.3088951,h00,h00
-0.30886176,h00,h00
-0.30882842,h00,h00
-0.30879508,h00,h00
-0.30876174,h00,h00
-0.3087284,h00,h00
-0.30869506,h00,h00
-0.30866172,h00,h00
-0.30862838,h00,h00
-0.30859504,h00,h00
-0.3085617,h00,h00
-0.30852836,h00,h00
-0.30849502,h00,h00
-0.30846168,h00,h00
-0.30842834,h00,h00
-0.308395,h00,h00
-0.30836166,h00,h00
-0.30832832,h00,h00
-0.30829498,h00,h00
-0.30826164,h00,h00
-0.3082283,h00,h00
-0.30819496,h00,h00
-0.30816162,h00,h00
-0.30812828,h00,h00
-0.30809494,h00,h00
-0.3080616,h00,h00
-0.30802826,h00,h00
-0.30799492,h00,h00
-0.30796158,h00,h00
-0.30792824,h00,h00
-0.3078949,h00,h00
-0.30786156,h00,h00
-0.30782822,h00,h00
-0.30779488,h00,h00
-0.30776154,h00,h00
-0.3077282,h00,h00
-0.30769486,h00,h00
-0.30766152,h00,h00
-0.30762818,h00,h00
-0.30759484,h00,h00
-0.3075615,h00,h00
-0.30752816,h00,h00
-0.30749482,h00,h00
-0.30746148,h00,h00
-0.30742814,h00,h00
-0.3073948,h00,h00
-0.30736146,h00,h00
-0.30732812,h00,h00
-0.30729478,h00,h00
-0.30726144,h00,h00
-0.3072281,h00,h00
-0.30719476,h00,h00
-0.30716142,h00,h00
-0.30712808,h00,h00
-0.30709474,h00,h00
-0.3070614,h00,h00
-0.30702806,h00,h00
-0.30699472,h00,h00
-0.30696138,h00,h00
-0.30692804,h00,h00
-0.3068947,h00,h00
-0.30686136,h00,h00
-0.30682802,h00,h00
-0.30679468,h00,h00
-0.30676134,h00,h00
-0.306728,h00,h00
-0.30669466,h00,h00
-0.30666132,h00,h00
-0.30662798,h00,h00
-0.30659464,h00,h00
-0.3065613,h00,h00
-0.30652796,h00,h00
-0.30649462,h00,h00
-0.30646128,h00,h00
-0.30642794,h00,h00
-0.3063946,h00,h00
-0.30636126,h00,h00
-0.30632792,h00,h00
-0.30629458,h00,h00
-0.30626124,h00,h00
-0.3062279,h00,h00
-0.30619456,h00,h00
-0.30616122,h00,h00
-0.30612788,h00,h00
-0.30609454,h00,h00
-0.3060612,h00,h00
-0.30602786,h00,h00
-0.30599452,h00,h00
-0.30596118,h00,h00
-0.30592784,h00,h00
-0.3058945,h00,h00
-0.30586116,h00,h00
-0.30582782,h00,h00
-0.30579448,h00,h00
-0.30576114,h00,h00
-0.3057278,h00,h00
-0.30569446,h00,h00
-0.30566112,h00,h00
-0.30562778,h00,h00
-0.30559444,h00,h00
-0.3055611,h00,h00
-0.30552776,h00,h00
-0.30549442,h00,h00
-0.30546108,h00,h00
-0.30542774,h00,h00
-0.3053944,h00,h00
-0.30536106,h00,h00
-0.30532772,h00,h00
-0.30529438,h00,h00
-0.30526104,h00,h00
-0.3052277,h00,h00
-0.30519436,h00,h00
-0.30516102,h00,h00
-0.30512768,h00,h00
-0.30509434,h00,h00
-0.305061,h00,h00
-0.30502766,h00,h00
-0.30499432,h00,h00
-0.30496098,h00,h00
-0.30492764,h00,h00
-0.3048943,h00,h00
-0.30486096,h00,h00
-0.30482762,h00,h00
-0.30479428,h00,h00
-0.30476094,h00,h00
-0.3047276,h00,h00
-0.30469426,h00,h00
-0.30466092,h00,h00
-0.30462758,h00,h00
-0.30459424,h00,h00
-0.3045609,h00,h00
-0.30452756,h00,h00
-0.30449422,h00,h00
-0.30446088,h00,h00
-0.30442754,h00,h00
-0.3043942,h00,h00
-0.30436086,h00,h00
-0.30432752,h00,h00
-0.30429418,h00,h00
-0.30426084,h00,h00
-0.3042275,h00,h00
-0.30419416,h00,h00
-0.30416082,h00,h00
-0.30412748,h00,h00
-0.30409414,h00,h00
-0.3040608,h00,h00
-0.30402746,h00,h00
-0.30399412,h00,h00
-0.30396078,h00,h00
-0.30392744,h00,h00
-0.3038941,h00,h00
-0.30386076,h00,h00
-0.30382742,h00,h00
-0.30379408,h00,h00
-0.30376074,h00,h00
-0.3037274,h00,h00
-0.30369406,h00,h00
-0.30366072,h00,h00
-0.30362738,h00,h00
-0.30359404,h00,h00
-0.3035607,h00,h00
-0.30352736,h00,h00
-0.30349402,h00,h00
-0.30346068,h00,h00
-0.30342734,h00,h00
-0.303394,h00,h00
-0.30336066,h00,h00
-0.30332732,h00,h00
-0.30329398,h00,h00
-0.30326064,h00,h00
-0.3032273,h00,h00
-0.30319396,h00,h00
-0.30316062,h00,h00
-0.30312728,h00,h00
-0.30309394,h00,h00
-0.3030606,h00,h00
-0.30302726,h00,h00
-0.30299392,h00,h00
-0.30296058,h00,h00
-0.30292724,h00,h00
-0.3028939,h00,h00
-0.30286056,h00,h00
-0.30282722,h00,h00
-0.30279388,h00,h00
-0.30276054,h00,h00
-0.3027272,h00,h00
-0.30269386,h00,h00
-0.30266052,h00,h00
-0.30262718,h00,h00
-0.30259384,h00,h00
-0.3025605,h00,h00
-0.30252716,h00,h00
-0.30249382,h00,h00
-0.30246048,h00,h00
-0.30242714,h00,h00
-0.3023938,h00,h00
-0.30236046,h00,h00
-0.30232712,h00,h00
-0.30229378,h00,h00
-0.30226044,h00,h00
-0.3022271,h00,h00
-0.30219376,h00,h00
-0.30216042,h00,h00
-0.30212708,h00,h00
-0.30209374,h00,h00
-0.3020604,h00,h00
-0.30202706,h00,h00
-0.30199372,h00,h00
-0.30196038,h00,h00
-0.30192704,h00,h00
-0.3018937,h00,h00
-0.30186036,h00,h00
-0.30182702,h00,h00
-0.30179368,h00,h00
-0.30176034,h00,h00
-0.301727,h00,h00
-0.30169366,h00,h00
-0.30166032,h00,h00
-0.30162698,h00,h00
-0.30159364,h00,h00
-0.3015603,h00,h00
-0.30152696,h00,h00
-0.30149362,h00,h00
-0.30146028,h00,h00
-0.30142694,h00,h00
-0.3013936,h00,h00
-0.30136026,h00,h00
-0.30132692,h00,h00
-0.30129358,h00,h00
-0.30126024,h00,h00
-0.3012269,h00,h00
-0.30119356,h00,h00
-0.30116022,h00,h00
-0.30112688,h00,h00
-0.30109354,h00,h00
-0.3010602,h00,h00
-0.30102686,h00,h00
-0.30099352,h00,h00
-0.30096018,h00,h00
-0.30092684,h00,h00
-0.3008935,h00,h00
-0.30086016,h00,h00
-0.30082682,h00,h00
-0.30079348,h00,h00
-0.30076014,h00,h00
-0.3007268,h00,h00
-0.30069346,h00,h00
-0.30066012,h00,h00
-0.30062678,h00,h00
-0.30059344,h00,h00
-0.3005601,h00,h00
-0.30052676,h00,h00
-0.30049342,h00,h00
-0.30046008,h00,h00
-0.30042674,h00,h00
-0.3003934,h00,h00
-0.30036006,h00,h00
-0.30032672,h00,h00
-0.30029338,h00,h00
-0.30026004,h00,h00
-0.3002267,h00,h00
-0.30019336,h00,h00
-0.30016002,h00,h00
-0.30012668,h00,h00
-0.30009334,h00,h00
-0.30006,h00,h00
-0.30002666,h00,h00
-0.29999332,h00,h00
-0.29995998,h00,h00
-0.29992664,h00,h00
-0.2998933,h00,h00
-0.29985996,h00,h00
-0.29982662,h00,h00
-0.29979328,h00,h00
-0.29975994,h00,h00
-0.2997266,h00,h00
-0.29969326,h00,h00
-0.29965992,h00,h00
-0.29962658,h00,h00
-0.29959324,h00,h00
-0.2995599,h00,h00
-0.29952656,h00,h00
-0.29949322,h00,h00
-0.29945988,h00,h00
-0.29942654,h00,h00
-0.2993932,h00,h00
-0.29935986,h00,h00
-0.29932652,h00,h00
-0.29929318,h00,h00
-0.29925984,h00,h00
-0.2992265,h00,h00
-0.29919316,h00,h00
-0.29915982,h00,h00
-0.29912648,h00,h00
-0.29909314,h00,h00
-0.2990598,h00,h00
-0.29902646,h00,h00
-0.29899312,h00,h00
-0.29895978,h00,h00
-0.29892644,h00,h00
-0.2988931,h00,h00
-0.29885976,h00,h00
-0.29882642,h00,h00
-0.29879308,h00,h00
-0.29875974,h00,h00
-0.2987264,h00,h00
-0.29869306,h00,h00
-0.29865972,h00,h00
-0.29862638,h00,h00
-0.29859304,h00,h00
-0.2985597,h00,h00
-0.29852636,h00,h00
-0.29849302,h00,h00
-0.29845968,h00,h00
-0.29842634,h00,h00
-0.298393,h00,h00
-0.29835966,h00,h00
-0.29832632,h00,h00
